% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.021	1	3	3	2	1	0	81	0	0	0
0.022	1	1	3	3	2	0	81	0	0	0
0.023	1	2	3	4	3	0	81	0	0	0
0.024	1	4	3	5	4	0	81	0	0	0
0.025	1	3	3	6	1	0	81	0	0	0
0.026	1	1	3	7	2	28	2196	0	0	0
0.027	1	2	3	8	3	28	2196	0	0	0
0.028	1	4	3	9	4	28	2196	0	0	0
0.029	1	3	3	10	1	28	2196	0	0	0
0.03	1	1	4	1	2	28	2196	0	0	0
0.031	1	2	4	2	3	28	2196	0	0	0
0.032	1	4	4	3	4	28	2196	0	0	0
0.033	1	3	4	4	1	28	2196	0	0	0
0.034	1	1	4	5	2	28	2196	0	0	0
0.035	1	2	4	6	3	28	2196	0	0	0
0.036	1	4	4	7	4	28	2196	0	0	0
0.037	1	3	4	8	1	28	2196	0	0	0
0.038	1	1	4	9	2	28	2196	0	0	0
0.039	1	2	4	10	3	28	2196	0	0	0
0.04	1	4	5	1	4	28	2196	0	0	0
0.041	1	3	5	2	1	28	2196	0	0	0
0.042	1	1	5	3	2	28	2196	0	0	0
0.043	1	2	5	4	3	28	2196	0	0	0
0.044	1	4	5	5	4	28	2196	0	0	0
0.045	1	3	5	6	1	28	2196	0	0	0
0.046	1	1	5	7	2	28	2196	0	0	0
0.047	1	2	5	8	3	28	2196	0	0	0
0.048	1	4	5	9	4	28	2196	0	0	0
0.049	1	3	5	10	1	28	2196	0	0	0
0.05	1	1	6	1	2	28	2196	0	0	0
0.051	1	2	6	2	3	28	2196	0	0	0
0.052	1	4	6	3	4	28	2196	0	0	0
0.053	1	3	6	4	1	28	2196	0	0	0
0.054	1	1	6	5	2	28	2196	0	0	0
0.055	1	2	6	6	3	28	2196	0	0	0
0.056	1	4	6	7	4	28	2196	0	0	0
0.057	1	3	6	8	1	28	2196	0	0	0
0.058	1	1	6	9	2	28	2196	0	0	0
0.059	1	2	6	10	3	28	2196	0	0	0
0.06	1	4	7	1	4	28	2196	0	0	0
0.061	1	3	7	2	1	28	2196	0	0	0
0.062	1	1	7	3	2	28	2196	0	0	0
0.063	1	2	7	4	3	28	2196	0	0	0
0.064	1	4	7	5	4	28	2196	0	0	0
0.065	1	3	7	6	1	28	2196	0	0	0
0.066	1	1	7	7	2	28	2196	0	0	0
0.067	1	2	7	8	3	28	2196	0	0	0
0.068	1	4	7	9	4	28	2196	0	0	0
0.069	1	3	7	10	1	28	2196	0	0	0
0.07	1	1	8	1	2	28	2196	0	0	0
0.071	1	2	8	2	3	28	2196	0	0	0
0.072	1	4	8	3	4	28	2196	0	0	0
0.073	1	3	8	4	1	28	2196	0	0	0
0.074	1	1	8	5	2	28	2196	0	0	0
0.075	1	2	8	6	3	28	2196	0	0	0
0.076	1	4	8	7	4	28	2196	0	0	0
0.077	1	3	8	8	1	28	2196	0	0	0
0.078	1	1	8	9	2	28	2196	0	0	0
0.079	1	2	8	10	3	28	2196	0	0	0
0.08	1	4	9	1	4	28	2196	0	0	0
0.081	1	3	9	2	1	28	2196	0	0	0
0.082	1	1	9	3	2	28	2196	0	0	0
0.083	1	2	9	4	3	28	2196	0	0	0
0.084	1	4	9	5	4	28	2196	0	0	0
0.085	1	3	9	6	1	28	2196	0	0	0
0.086	1	1	9	7	2	28	2196	0	0	0
0.087	1	2	9	8	3	28	2196	0	0	0
0.088	1	4	9	9	4	28	2196	0	0	0
0.089	1	3	9	10	1	28	2196	0	0	0
0.09	1	1	10	1	2	28	2196	0	0	0
0.091	1	2	10	2	3	28	2196	0	0	0
0.092	1	4	10	3	4	28	2196	0	0	0
0.093	1	3	10	4	1	28	2196	0	0	0
0.094	1	1	10	5	2	28	2196	0	0	0
0.095	1	2	10	6	3	28	2196	0	0	0
0.096	1	4	10	7	4	28	2196	0	0	0
0.097	1	3	10	8	1	28	2196	0	0	0
0.098	1	1	10	9	2	28	2196	0	0	0
0.099	1	2	10	10	3	28	2196	0	0	0
0.1	1	4	11	1	4	28	2196	0	0	0
0.101	1	3	11	2	1	28	2196	0	0	0
0.102	1	1	11	3	2	28	2196	0	0	0
0.103	1	2	11	4	3	28	2196	0	0	0
0.104	1	4	11	5	4	28	2196	0	0	0
0.105	1	3	11	6	1	28	2196	0	0	0
0.106	1	1	11	7	2	28	2196	0	0	0
0.107	1	2	11	8	3	28	2196	0	0	0
0.108	1	4	11	9	4	28	2196	0	0	0
0.109	1	3	11	10	1	28	2196	0	0	0
0.11	1	1	12	1	2	28	2196	0	0	0
0.111	1	2	12	2	3	28	2196	0	0	0
0.112	1	4	12	3	4	28	2196	0	0	0
0.113	1	3	12	4	1	28	2196	0	0	0
0.114	1	1	12	5	2	28	2196	0	0	0
0.115	1	2	12	6	3	28	2196	0	0	0
0.116	1	4	12	7	4	28	2196	0	0	0
0.117	1	3	12	8	1	28	2196	0	0	0
0.118	1	1	12	9	2	28	2196	0	0	0
0.119	1	2	12	10	3	28	2196	0	0	0
0.12	1	4	13	1	4	28	2196	0	0	0
0.121	1	3	13	2	1	28	2196	0	0	0
0.122	1	1	13	3	2	28	2196	0	0	0
0.123	1	2	13	4	3	28	2196	0	0	0
0.124	1	4	13	5	4	28	2196	0	0	0
0.125	1	3	13	6	1	28	2196	0	0	0
0.126	1	1	13	7	2	28	2196	0	0	0
0.127	1	2	13	8	3	28	2196	0	0	0
0.128	1	4	13	9	4	28	2196	0	0	0
0.129	1	3	13	10	1	28	2196	0	0	0
0.13	1	1	14	1	2	28	2196	0	0	0
0.131	1	2	14	2	3	28	2196	0	0	0
0.132	1	4	14	3	4	28	2196	0	0	0
0.133	1	3	14	4	1	28	2196	0	0	0
0.134	1	1	14	5	2	28	2196	0	0	0
0.135	1	2	14	6	3	28	2196	0	0	0
0.136	1	4	14	7	4	28	2196	0	0	0
0.137	1	3	14	8	1	28	2196	0	0	0
0.138	1	1	14	9	2	28	2196	0	0	0
0.139	1	2	14	10	3	28	2196	0	0	0
0.14	1	4	15	1	4	28	2196	0	0	0
0.141	1	3	15	2	1	28	2196	0	0	0
0.142	1	1	15	3	2	28	2196	0	0	0
0.143	1	2	15	4	3	28	2196	0	0	0
0.144	1	4	15	5	4	28	2196	0	0	0
0.145	1	3	15	6	1	28	2196	0	0	0
0.146	1	1	15	7	2	28	2196	0	0	0
0.147	1	2	15	8	3	28	2196	0	0	0
0.148	1	4	15	9	4	28	2196	0	0	0
0.149	1	3	15	10	1	28	2196	0	0	0
0.15	1	1	16	1	2	28	2196	0	0	0
0.151	1	2	16	2	3	28	2196	0	0	0
0.152	1	4	16	3	4	28	2196	0	0	0
0.153	1	3	16	4	1	28	2196	0	0	0
0.154	1	1	16	5	2	28	2196	0	0	0
0.155	1	2	16	6	3	28	2196	0	0	0
0.156	1	4	16	7	4	28	2196	0	0	0
0.157	1	3	16	8	1	28	2196	0	0	0
0.158	1	1	16	9	2	28	2196	0	0	0
0.159	1	2	16	10	3	28	2196	0	0	0
0.16	1	4	17	1	4	28	2196	0	0	0
0.161	1	3	17	2	1	28	2196	0	0	0
0.162	1	1	17	3	2	28	2196	0	0	0
0.163	1	2	17	4	3	28	2196	0	0	0
0.164	1	4	17	5	4	28	2196	0	0	0
0.165	1	3	17	6	1	28	2196	0	0	0
0.166	1	1	17	7	2	28	2196	0	0	0
0.167	1	2	17	8	3	28	2196	0	0	0
0.168	1	4	17	9	4	28	2196	0	0	0
0.169	1	3	17	10	1	28	2196	0	0	0
0.17	1	1	18	1	2	28	2196	0	0	0
0.171	1	2	18	2	3	28	2196	0	0	0
0.172	1	4	18	3	4	28	2196	0	0	0
0.173	1	3	18	4	1	28	2196	0	0	0
0.174	1	1	18	5	2	28	2196	0	0	0
0.175	1	2	18	6	3	28	2196	0	0	0
0.176	1	4	18	7	4	28	2196	0	0	0
0.177	1	3	18	8	1	28	2196	0	0	0
0.178	1	1	18	9	2	28	2196	0	0	0
0.179	1	2	18	10	3	28	2196	0	0	0
0.18	1	4	19	1	4	28	2196	0	0	0
0.181	1	3	19	2	1	28	2196	0	0	0
0.182	1	1	19	3	2	28	2196	0	0	0
0.183	1	2	19	4	3	28	2196	0	0	0
0.184	1	4	19	5	4	28	2196	0	0	0
0.185	1	3	19	6	1	28	2196	0	0	0
0.186	1	1	19	7	2	28	2196	0	0	0
0.187	1	2	19	8	3	28	2196	0	0	0
0.188	1	4	19	9	4	28	2196	0	0	0
0.189	1	3	19	10	1	28	2196	0	0	0
0.19	1	1	20	1	2	28	2196	0	0	0
0.191	1	2	20	2	3	28	2196	0	0	0
0.192	1	4	20	3	4	28	2196	0	0	0
0.193	1	3	20	4	1	28	2196	0	0	0
0.194	1	1	20	5	2	28	2196	0	0	0
0.195	1	2	20	6	3	28	2196	0	0	0
