% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.026	1	3	3	7	1	0	19	0
0.026	1	1	3	7	2	0	19	0
0.026	1	2	3	7	3	0	19	0
0.026	1	4	3	7	4	0	19	0
0.027	1	3	3	8	1	0	19	0
0.027	1	1	3	8	2	0	19	0
0.027	1	2	3	8	3	0	19	0
0.027	1	4	3	8	4	0	19	0
0.028	1	3	3	9	1	0	19	0
0.028	1	1	3	9	2	0	19	0
0.028	1	2	3	9	3	0	19	0
0.028	1	4	3	9	4	0	19	0
0.029	1	3	3	10	1	0	19	0
0.029	1	1	3	10	2	0	19	0
0.029	1	2	3	10	3	0	19	0
0.029	1	4	3	10	4	0	19	0
0.03	1	3	4	1	1	0	19	0
0.03	1	1	4	1	2	0	19	0
0.03	1	2	4	1	3	0	19	0
0.03	1	4	4	1	4	0	19	0
0.031	1	3	4	2	1	0	19	0
0.031	1	1	4	2	2	0	19	0
0.031	1	2	4	2	3	0	19	0
0.031	1	4	4	2	4	0	19	0
0.032	1	3	4	3	1	0	19	0
0.032	1	1	4	3	2	0	19	0
0.032	1	2	4	3	3	0	19	0
0.032	1	4	4	3	4	0	19	0
0.033	1	3	4	4	1	0	19	0
0.033	1	1	4	4	2	0	19	0
0.033	1	2	4	4	3	0	19	0
0.033	1	4	4	4	4	0	19	0
0.034	1	3	4	5	1	0	19	0
0.034	1	1	4	5	2	0	19	0
0.034	1	2	4	5	3	0	19	0
0.034	1	4	4	5	4	0	19	0
0.035	1	3	4	6	1	0	19	0
0.035	1	1	4	6	2	0	19	0
0.035	1	2	4	6	3	0	19	0
0.035	1	4	4	6	4	0	19	0
0.036	1	3	4	7	1	0	19	0
0.036	1	1	4	7	2	0	19	0
0.036	1	2	4	7	3	0	19	0
0.036	1	4	4	7	4	0	19	0
0.037	1	3	4	8	1	0	19	0
0.037	1	1	4	8	2	0	19	0
0.037	1	2	4	8	3	0	19	0
0.037	1	4	4	8	4	0	19	0
0.038	1	3	4	9	1	0	19	0
0.038	1	1	4	9	2	0	19	0
0.038	1	2	4	9	3	0	19	0
0.038	1	4	4	9	4	0	19	0
0.039	1	3	4	10	1	0	19	0
0.039	1	1	4	10	2	0	19	0
0.039	1	2	4	10	3	0	19	0
0.039	1	4	4	10	4	0	19	0
0.04	1	3	5	1	1	0	19	0
0.04	1	1	5	1	2	0	19	0
0.04	1	2	5	1	3	0	19	0
0.04	1	4	5	1	4	0	19	0
0.041	1	3	5	2	1	28	549	0
0.041	1	1	5	2	2	0	19	0
0.041	1	2	5	2	3	0	19	0
0.041	1	4	5	2	4	0	19	0
0.042	1	3	5	3	1	28	549	0
0.042	1	1	5	3	2	28	549	0
0.042	1	2	5	3	3	0	19	0
0.042	1	4	5	3	4	0	19	0
0.043	1	3	5	4	1	28	549	0
0.043	1	1	5	4	2	28	549	0
0.043	1	2	5	4	3	28	549	0
0.043	1	4	5	4	4	0	19	0
0.044	1	3	5	5	1	28	549	0
0.044	1	1	5	5	2	28	549	0
0.044	1	2	5	5	3	28	549	0
0.044	1	4	5	5	4	28	549	0
0.045	1	3	5	6	1	28	549	0
0.045	1	1	5	6	2	28	549	0
0.045	1	2	5	6	3	28	549	0
0.045	1	4	5	6	4	28	549	0
0.046	1	3	5	7	1	28	549	0
0.046	1	1	5	7	2	28	549	0
0.046	1	2	5	7	3	28	549	0
0.046	1	4	5	7	4	28	549	0
0.047	1	3	5	8	1	28	549	0
0.047	1	1	5	8	2	28	549	0
0.047	1	2	5	8	3	28	549	0
0.047	1	4	5	8	4	28	549	0
0.048	1	3	5	9	1	28	549	0
0.048	1	1	5	9	2	28	549	0
0.048	1	2	5	9	3	28	549	0
0.048	1	4	5	9	4	28	549	0
0.049	1	3	5	10	1	28	549	0
0.049	1	1	5	10	2	28	549	0
0.049	1	2	5	10	3	28	549	0
0.049	1	4	5	10	4	28	549	0
0.05	1	3	6	1	1	28	549	0
0.05	1	1	6	1	2	28	549	0
0.05	1	2	6	1	3	28	549	0
0.05	1	4	6	1	4	28	549	0
